epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7052.69,0.77924,0.65557,1.16936,0.89886,0.83274,0.86313,0.49053,1.54343,0.89283,1.91679,0.0005941,0.0005941,0.0005941
43,7204.89,0.77801,0.65225,1.15727,0.93424,0.84277,0.88497,0.53193,1.44509,0.82913,1.8007,0.0005842,0.0005842,0.0005842
44,7357.18,0.77143,0.646,1.14747,0.94355,0.80622,0.8919,0.49504,1.48727,0.84096,1.86252,0.0005743,0.0005743,0.0005743
45,7502.82,0.77038,0.64428,1.15363,0.89017,0.81893,0.8845,0.51638,1.42916,0.80926,1.79732,0.0005644,0.0005644,0.0005644
46,7651.19,0.78769,0.65511,1.16203,0.86638,0.86884,0.87426,0.50325,1.45147,0.80861,1.8436,0.0005545,0.0005545,0.0005545
47,7806.75,0.74247,0.62736,1.1237,0.90538,0.81269,0.87075,0.50542,1.49013,0.87081,1.89818,0.0005446,0.0005446,0.0005446
48,7955.7,0.75706,0.63006,1.1342,0.9517,0.81981,0.87618,0.49432,1.48529,0.86205,1.87411,0.0005347,0.0005347,0.0005347
49,8116.59,0.75634,0.62095,1.13604,0.8914,0.86781,0.89926,0.52939,1.42387,0.78364,1.85354,0.0005248,0.0005248,0.0005248
50,8264.25,0.73657,0.60873,1.12215,0.92265,0.78129,0.87601,0.48891,1.50336,0.82655,1.92221,0.0005149,0.0005149,0.0005149
51,8406.82,0.73907,0.60134,1.12427,0.89603,0.78292,0.89528,0.53777,1.40763,0.79538,1.81297,0.000505,0.000505,0.000505
52,8543.04,0.71843,0.59219,1.11429,0.897,0.86582,0.90172,0.54892,1.41284,0.76226,1.80564,0.0004951,0.0004951,0.0004951
53,8678.54,0.72032,0.60457,1.1187,0.88914,0.86527,0.90905,0.54472,1.38399,0.7576,1.76652,0.0004852,0.0004852,0.0004852
54,8814.35,0.71125,0.58888,1.11071,0.92869,0.79668,0.87792,0.51023,1.51108,0.79787,1.95841,0.0004753,0.0004753,0.0004753
55,8958.39,0.70216,0.59039,1.11081,0.93476,0.82451,0.88997,0.53483,1.42745,0.75014,1.88518,0.0004654,0.0004654,0.0004654
56,9099.61,0.71016,0.59368,1.11805,0.92869,0.83008,0.90923,0.52212,1.43871,0.73603,1.86641,0.0004555,0.0004555,0.0004555
57,9235.55,0.69991,0.58818,1.11027,0.88611,0.87067,0.8951,0.5249,1.42807,0.76709,1.87226,0.0004456,0.0004456,0.0004456
58,9371.31,0.67894,0.55703,1.09651,0.94908,0.83994,0.90522,0.51634,1.47823,0.79966,1.95602,0.0004357,0.0004357,0.0004357
59,9507.2,0.66597,0.56634,1.09612,0.96193,0.81286,0.88758,0.52953,1.44981,0.81968,1.86739,0.0004258,0.0004258,0.0004258
60,9642.99,0.66456,0.56763,1.08882,0.88322,0.83885,0.90681,0.53528,1.44414,0.80618,1.88608,0.0004159,0.0004159,0.0004159
61,9778.94,0.67177,0.55626,1.08472,0.92906,0.80981,0.90556,0.54424,1.42141,0.76532,1.85646,0.000406,0.000406,0.000406
62,9914.62,0.68689,0.56165,1.10144,0.90788,0.80595,0.8949,0.53039,1.44057,0.7625,1.8954,0.0003961,0.0003961,0.0003961
63,10050.5,0.65852,0.55025,1.07745,0.8863,0.8671,0.90173,0.53639,1.44549,0.75089,1.92287,0.0003862,0.0003862,0.0003862
64,10186.8,0.64291,0.52419,1.073,0.91362,0.85778,0.89782,0.52402,1.48813,0.79601,1.96054,0.0003763,0.0003763,0.0003763
65,10322.7,0.62629,0.52547,1.06092,0.94103,0.84629,0.91071,0.53668,1.47184,0.75341,1.91485,0.0003664,0.0003664,0.0003664
66,10458.6,0.65987,0.5434,1.09644,0.95202,0.79985,0.9014,0.53778,1.4596,0.72477,1.90074,0.0003565,0.0003565,0.0003565
67,10594.7,0.6508,0.54611,1.07666,0.94169,0.84938,0.90894,0.5348,1.46532,0.73438,1.94686,0.0003466,0.0003466,0.0003466
68,10731,0.62131,0.51573,1.05996,0.92593,0.8727,0.89946,0.553,1.40799,0.7157,1.8779,0.0003367,0.0003367,0.0003367
69,10867.1,0.6194,0.51074,1.06766,0.92877,0.85447,0.90045,0.53375,1.43441,0.74962,1.90447,0.0003268,0.0003268,0.0003268
70,11003.6,0.62734,0.51617,1.06979,0.89867,0.89004,0.90356,0.55038,1.37538,0.72986,1.83801,0.0003169,0.0003169,0.0003169
71,11139.6,0.61122,0.50874,1.05215,0.90797,0.90202,0.9175,0.54313,1.44509,0.72735,1.94641,0.000307,0.000307,0.000307
72,11277.1,0.62049,0.52535,1.06054,0.87914,0.88348,0.90022,0.53818,1.43724,0.73473,1.92729,0.0002971,0.0002971,0.0002971
73,11413.8,0.60833,0.50574,1.04786,0.90308,0.85492,0.89257,0.54643,1.42539,0.75419,1.89791,0.0002872,0.0002872,0.0002872
74,11550,0.60974,0.50429,1.05383,0.88939,0.86122,0.88783,0.51361,1.48141,0.75866,1.9897,0.0002773,0.0002773,0.0002773
75,11687.1,0.60711,0.50386,1.05893,0.91612,0.8051,0.89086,0.52604,1.45171,0.72973,1.9789,0.0002674,0.0002674,0.0002674
76,11823.3,0.59899,0.4995,1.0462,0.85374,0.8927,0.90469,0.54051,1.43281,0.76328,1.92038,0.0002575,0.0002575,0.0002575
77,11959.3,0.59377,0.49296,1.03965,0.90993,0.82628,0.89417,0.53305,1.43135,0.77013,1.89295,0.0002476,0.0002476,0.0002476
78,12095.1,0.58813,0.49363,1.04404,0.91832,0.80559,0.89408,0.531,1.42299,0.75611,1.93985,0.0002377,0.0002377,0.0002377
79,12230.8,0.59129,0.48671,1.03775,0.93615,0.80783,0.88691,0.52316,1.43897,0.76025,1.96384,0.0002278,0.0002278,0.0002278
80,12367,0.56342,0.47252,1.03584,0.93395,0.82175,0.90685,0.53476,1.41259,0.74494,1.92394,0.0002179,0.0002179,0.0002179
81,12501.7,0.56187,0.465,1.03,0.88489,0.83516,0.9049,0.54224,1.41251,0.71186,1.9045,0.000208,0.000208,0.000208
82,12637.8,0.56595,0.47481,1.03621,0.86192,0.86157,0.89663,0.53944,1.4106,0.75315,1.90944,0.0001981,0.0001981,0.0001981
83,12774.6,0.57136,0.48574,1.03917,0.85931,0.8666,0.89851,0.54077,1.42835,0.74676,1.93587,0.0001882,0.0001882,0.0001882
84,12911.6,0.56242,0.47075,1.02864,0.87222,0.83511,0.89131,0.52005,1.4863,0.78329,1.98041,0.0001783,0.0001783,0.0001783
85,13048.7,0.56001,0.46173,1.03229,0.88057,0.86753,0.90746,0.53034,1.44342,0.74222,1.93863,0.0001684,0.0001684,0.0001684
86,13184.8,0.5442,0.46435,1.01634,0.89443,0.84553,0.90159,0.54159,1.40011,0.73722,1.90688,0.0001585,0.0001585,0.0001585
87,13320.1,0.54763,0.45916,1.02196,0.89436,0.81613,0.89045,0.53461,1.40197,0.76327,1.89339,0.0001486,0.0001486,0.0001486
88,13454.6,0.56135,0.46885,1.029,0.87414,0.82386,0.89168,0.541,1.41426,0.72973,1.91576,0.0001387,0.0001387,0.0001387
89,13589.5,0.53212,0.44199,1.01922,0.87311,0.83597,0.88869,0.53901,1.39736,0.76392,1.90767,0.0001288,0.0001288,0.0001288
90,13723.2,0.53504,0.45225,1.01058,0.91892,0.84374,0.90192,0.54398,1.40012,0.71331,1.93393,0.0001189,0.0001189,0.0001189
91,13856.2,0.48944,0.3932,1.00052,0.90321,0.84193,0.89143,0.5335,1.43763,0.69174,2.01179,0.000109,0.000109,0.000109
92,13989,0.44886,0.36042,0.97866,0.91318,0.82294,0.88776,0.52467,1.42529,0.72753,1.99216,9.91e-05,9.91e-05,9.91e-05
93,14121.1,0.44066,0.34135,0.9872,0.90796,0.83665,0.89034,0.53006,1.44007,0.71227,2.00944,8.92e-05,8.92e-05,8.92e-05
94,14252,0.44565,0.34817,0.98337,0.90275,0.8386,0.901,0.54504,1.44161,0.713,2.00641,7.93e-05,7.93e-05,7.93e-05
95,14385.8,0.43777,0.33994,0.95852,0.9063,0.83469,0.90005,0.5535,1.40995,0.70953,1.96721,6.94e-05,6.94e-05,6.94e-05
96,14519.6,0.43294,0.34116,0.97169,0.89535,0.84506,0.90236,0.54482,1.40864,0.70337,1.97096,5.95e-05,5.95e-05,5.95e-05
97,14653.7,0.42271,0.33,0.96876,0.88248,0.84868,0.90277,0.5452,1.40357,0.71432,1.96707,4.96e-05,4.96e-05,4.96e-05
98,14788.3,0.41952,0.32967,0.962,0.89791,0.84783,0.89622,0.549,1.41224,0.71227,1.96886,3.97e-05,3.97e-05,3.97e-05
99,14922.1,0.41228,0.32514,0.95863,0.90049,0.84376,0.90084,0.54797,1.41039,0.70615,1.97493,2.98e-05,2.98e-05,2.98e-05
100,15057.4,0.4029,0.32168,0.96293,0.8872,0.84696,0.89862,0.54976,1.4016,0.71643,1.96394,1.99e-05,1.99e-05,1.99e-05
